"","Factor","Levels","E","A","Total","Statistics","OR (MV)","LCL","UCL"
"1","Hepatitis (Group)","","48 (24.0%)","152 (76.0%)","200","",NA,NA,NA
"2","Sex","M","31 (64.6%)","88 (57.9%)","119 (59.5%)","OR=1.33 [0.68, 2.60] (p=0.500)",NA,NA,NA
"3","Sex","F","17 (35.4%)","64 (42.1%)","81 (40.5%)","",NA,NA,NA
"4","Age at presentation (years)","Med (IQR)","52.5 (38.75-62.25)","35.5 (28.75-46.25)","38 (30-52.25)","MW: p<0.001",NA,NA,NA
"5","Age at presentation (years)","μ ±DS","50.62 ±15.6","39.06 ±15.0","41.84 ±15.9","",NA,NA,NA
"6","Age (groups)","[50,Inf)","28 (58.3%)","31 (20.4%)","59 (29.5%)","V=0.36 (p<0.001)",NA,NA,NA
"7","Age (groups)","[40,50)","7 (14.6%)","28 (18.4%)","35 (17.5%)","",NA,NA,NA
"8","Age (groups)","[30,40)","7 (14.6%)","52 (34.2%)","59 (29.5%)","",NA,NA,NA
"9","Age (groups)","[18,30)","6 (12.5%)","41 (27.0%)","47 (23.5%)","",NA,NA,NA
"10","Hospital stay duration (days)","Med (IQR)","9 (7-14)","11 (8-14)","10 (8-14)","MW: p=0.407","0.992 (p=0.772 )","0.936","1.046"
"11","Hospital stay duration (days)","μ ±DS","12.10 ±8.25","11.45 ±5.47","11.61 ±6.24","",NA,NA,NA
"12","Direct billirubin (mg/dL)","Med (IQR)","1.24 (0.34-5.02)","4.9 (2.66-6.99)","4.32 (1.31-6.99)","MW: p<0.001","0.194 (p<0.001 ***)","0.094","0.381"
"13","Direct billirubin (mg/dL)","μ ±DS","5.14 ±7.81","5.01 ±3.21","5.04 ±4.71","",NA,NA,NA
"14","Direct billirubin (groups)","[0.3,Inf)","37 (77.1%)","147 (96.7%)","184 (92.0%)","OR=0.11 [0.04, 0.35] (p<0.001)","0.066 (p<0.001 ***)","0.017","0.218"
"15","Direct billirubin (groups)","[0,0.3)","11 (22.9%)","5 (3.3%)","16 (8.0%)","",NA,NA,NA
